com.amazon.kindle
com.rovio.angrybirds
com.king.candycrushsaga
com.cleanmaster.mguard
com.dropbox.android
com.facebook.katana
com.fitbit.FitbitMobile
com.halfbrick.fruitninjafree
com.google.android.apps.docs
com.google.android.apps.maps
com.google.android.apps.photos
com.google.android.apps.translate
com.google.android.talk
com.ikea.catalogue.android
com.instagram.android
jp.naver.line.android
com.linkedin.android
com.facebook.orca
com.microsoft.office.word
com.microsoft.skydrive
com.pinterest
com.skype.raider
com.snapchat.android
com.starbucks.mobilecard
com.tumblr
com.twitter.android
com.tencent.mm
com.whatsapp
org.wikipedia
com.yelp.android
